review,char_len,word_count,tokens,tokens_join,sentiment_score,sentiment_label
Á¿´ó£¬ºÃ³Ô£¬Ã¿´ÎµãµÄ¶¼¹»³ÔÁ½´Î,30,1,"['Á', '¿', '´', 'ó', '£', '¬', 'º', 'Ã', '³', 'Ô', '£', '¬', 'Ã', '¿', '´', 'Î', 'µ', 'ã', 'µ', 'Ä', '¶', '¼', '¹', '»', '³', 'Ô', 'Á', '½', '´', 'Î']",Á ¿ ´ ó £ ¬ º Ã ³ Ô £ ¬ Ã ¿ ´ Î µ ã µ Ä ¶ ¼ ¹ » ³ Ô Á ½ ´ Î,0.0453991721093125,0
Í¦À±µÄ£¬³Ô×Å»¹¿ÉÒÔ°É,20,1,"['Í', '¦', 'À', '±', 'µ', 'Ä', '£', '¬', '³', 'Ô', '×', 'Å', '»', '¹', '¿', 'É', 'Ò', 'Ô', '°', 'É']",Í ¦ À ± µ Ä £ ¬ ³ Ô × Å » ¹ ¿ É Ò Ô ° É,0.1196737016130942,0
Î¶µÀºÃ£¬ËÍ²Í¿ì£¬·ÖÁ¿×ã,22,1,"['Î', '¶', 'µ', 'À', 'º', 'Ã', '£', '¬', 'Ë', 'Í', '²', 'Í', '¿', 'ì', '£', '¬', '·', 'Ö', 'Á', '¿', '×', 'ã']",Î ¶ µ À º Ã £ ¬ Ë Í ² Í ¿ ì £ ¬ · Ö Á ¿ × ã,0.1805786953409269,0
Á¿×ã£¬ºÃ³Ô£¬ËÍ²ÍÒ²¿ì,20,1,"['Á', '¿', '×', 'ã', '£', '¬', 'º', 'Ã', '³', 'Ô', '£', '¬', 'Ë', 'Í', '²', 'Í', 'Ò', '²', '¿', 'ì']",Á ¿ × ã £ ¬ º Ã ³ Ô £ ¬ Ë Í ² Í Ò ² ¿ ì,0.1196737016130942,0
ÌØ±ðºÃ³Ô£¬Á¿ÌØ´ó£¬¶øÇÒËÍ²ÍÌØ±ð¿ì£¬ÌØ±ðÌØ±ð°ô,44,1,"['Ì', 'Ø', '±', 'ð', 'º', 'Ã', '³', 'Ô', '£', '¬', 'Á', '¿', 'Ì', 'Ø', '´', 'ó', '£', '¬', '¶', 'ø', 'Ç', 'Ò', 'Ë', 'Í', '²', 'Í', 'Ì', 'Ø', '±', 'ð', '¿', 'ì', '£', '¬', 'Ì', 'Ø', '±', 'ð', 'Ì', 'Ø', '±', 'ð', '°', 'ô']",Ì Ø ± ð º Ã ³ Ô £ ¬ Á ¿ Ì Ø ´ ó £ ¬ ¶ ø Ç Ò Ë Í ² Í Ì Ø ± ð ¿ ì £ ¬ Ì Ø ± ð Ì Ø ± ð ° ô,0.0108124540731002,0
¿Ú¸ÐºÃµÄºÜ£¬ËÙ¶È¿ì£¡,20,1,"['¿', 'Ú', '¸', 'Ð', 'º', 'Ã', 'µ', 'Ä', 'º', 'Ü', '£', '¬', 'Ë', 'Ù', '¶', 'È', '¿', 'ì', '£', '¡']",¿ Ú ¸ Ð º Ã µ Ä º Ü £ ¬ Ë Ù ¶ È ¿ ì £ ¡,0.1196737016130942,0
Ïàµ±ºÃ³ÔµÄÏã¹ø£¬·ÖÁ¿¹»×ã£¬Î¶µÀÒ²Ã»µÄËµ¡£,40,1,"['Ï', 'à', 'µ', '±', 'º', 'Ã', '³', 'Ô', 'µ', 'Ä', 'Ï', 'ã', '¹', 'ø', '£', '¬', '·', 'Ö', 'Á', '¿', '¹', '»', '×', 'ã', '£', '¬', 'Î', '¶', 'µ', 'À', 'Ò', '²', 'Ã', '»', 'µ', 'Ä', 'Ë', 'µ', '¡', '£']",Ï à µ ± º Ã ³ Ô µ Ä Ï ã ¹ ø £ ¬ · Ö Á ¿ ¹ » × ã £ ¬ Î ¶ µ À Ò ² Ã » µ Ä Ë µ ¡ £,0.0322040864865172,0
ºÃ³Ô£¡ËÙ¶È£¡°ü×°Ò²ÓÐÆ·ÖÊ£¬²»³ö¼ÒÃÅ¾ÍÄÜ³Ôµ½²ÍÌüµÄÎ¶µÀ£¡,54,1,"['º', 'Ã', '³', 'Ô', '£', '¡', 'Ë', 'Ù', '¶', 'È', '£', '¡', '°', 'ü', '×', '°', 'Ò', '²', 'Ó', 'Ð', 'Æ', '·', 'Ö', 'Ê', '£', '¬', '²', '»', '³', 'ö', '¼', 'Ò', 'Ã', 'Å', '¾', 'Í', 'Ä', 'Ü', '³', 'Ô', 'µ', '½', '²', 'Í', 'Ì', 'ü', 'µ', 'Ä', 'Î', '¶', 'µ', 'À', '£', '¡']",º Ã ³ Ô £ ¡ Ë Ù ¶ È £ ¡ ° ü × ° Ò ² Ó Ð Æ · Ö Ê £ ¬ ² » ³ ö ¼ Ò Ã Å ¾ Í Ä Ü ³ Ô µ ½ ² Í Ì ü µ Ä Î ¶ µ À £ ¡,0.0075899317616753,0
Î¶µÀºÃ¼«À²£¬ËÍ²ÍºÜ¿ìÊ¦¸µÐÁ¿àÀ²,30,1,"['Î', '¶', 'µ', 'À', 'º', 'Ã', '¼', '«', 'À', '²', '£', '¬', 'Ë', 'Í', '²', 'Í', 'º', 'Ü', '¿', 'ì', 'Ê', '¦', '¸', 'µ', 'Ð', 'Á', '¿', 'à', 'À', '²']",Î ¶ µ À º Ã ¼ « À ² £ ¬ Ë Í ² Í º Ü ¿ ì Ê ¦ ¸ µ Ð Á ¿ à À ²,0.0453991721093125,0
Á¿´óÎ¶µÀºÃ£¬ËÍ²ÍÊ¦¸µ¶¼ºÜºÃ,26,1,"['Á', '¿', '´', 'ó', 'Î', '¶', 'µ', 'À', 'º', 'Ã', '£', '¬', 'Ë', 'Í', '²', 'Í', 'Ê', '¦', '¸', 'µ', '¶', '¼', 'º', 'Ü', 'º', 'Ã']",Á ¿ ´ ó Î ¶ µ À º Ã £ ¬ Ë Í ² Í Ê ¦ ¸ µ ¶ ¼ º Ü º Ã,0.0675032991840397,0
ËÍ²ÍÊ¦¸µºÜºÃ£¬Î¶µÀºÃ¼«À²,24,1,"['Ë', 'Í', '²', 'Í', 'Ê', '¦', '¸', 'µ', 'º', 'Ü', 'º', 'Ã', '£', '¬', 'Î', '¶', 'µ', 'À', 'º', 'Ã', '¼', '«', 'À', '²']",Ë Í ² Í Ê ¦ ¸ µ º Ü º Ã £ ¬ Î ¶ µ À º Ã ¼ « À ²,0.0819882678353036,0
ËÍ»õËÙ¶ÈºÜ¿ì£¬Ò»Ö±¶¨Õâ¼Ò£¬ÔÞ,28,1,"['Ë', 'Í', '»', 'õ', 'Ë', 'Ù', '¶', 'È', 'º', 'Ü', '¿', 'ì', '£', '¬', 'Ò', '»', 'Ö', '±', '¶', '¨', 'Õ', 'â', '¼', 'Ò', '£', '¬', 'Ô', 'Þ']",Ë Í » õ Ë Ù ¶ È º Ü ¿ ì £ ¬ Ò » Ö ± ¶ ¨ Õ â ¼ Ò £ ¬ Ô Þ,0.0554229092727931,0
ºÜ·½±ã£¬ºÜ¿ì¾ÍËÍµ½ÁË¡£°ô,24,1,"['º', 'Ü', '·', '½', '±', 'ã', '£', '¬', 'º', 'Ü', '¿', 'ì', '¾', 'Í', 'Ë', 'Í', 'µ', '½', 'Á', 'Ë', '¡', '£', '°', 'ô']",º Ü · ½ ± ã £ ¬ º Ü ¿ ì ¾ Í Ë Í µ ½ Á Ë ¡ £ ° ô,0.1515511217128717,0
ºÃ³Ô£¬×Üµã£¬ÕâÃ´¶à¹»Îå¸öÈË³Ô¡£ËÍµÄºÜ¿ì¡£,40,1,"['º', 'Ã', '³', 'Ô', '£', '¬', '×', 'Ü', 'µ', 'ã', '£', '¬', 'Õ', 'â', 'Ã', '´', '¶', 'à', '¹', '»', 'Î', 'å', '¸', 'ö', 'È', 'Ë', '³', 'Ô', '¡', '£', 'Ë', 'Í', 'µ', 'Ä', 'º', 'Ü', '¿', 'ì', '¡', '£']",º Ã ³ Ô £ ¬ × Ü µ ã £ ¬ Õ â Ã ´ ¶ à ¹ » Î å ¸ ö È Ë ³ Ô ¡ £ Ë Í µ Ä º Ü ¿ ì ¡ £,0.0163655622340506,0
"ºÜÏãºÜÃÀÎ¶,ÏÂ´Î»¹»á¹â¹Ë",23,1,"['º', 'Ü', 'Ï', 'ã', 'º', 'Ü', 'Ã', 'À', 'Î', '¶', ',', 'Ï', 'Â', '´', 'Î', '»', '¹', '»', 'á', '¹', 'â', '¹', 'Ë']","º Ü Ï ã º Ü Ã À Î ¶ , Ï Â ´ Î » ¹ » á ¹ â ¹ Ë",0.0992506215457137,0
"ËÍ²ÍÌØ±ð¿ì,Ì¬¶ÈÒ²ºÃ,ÐÁ¿àÀ²",26,1,"['Ë', 'Í', '²', 'Í', 'Ì', 'Ø', '±', 'ð', '¿', 'ì', ',', 'Ì', '¬', '¶', 'È', 'Ò', '²', 'º', 'Ã', ',', 'Ð', 'Á', '¿', 'à', 'À', '²']","Ë Í ² Í Ì Ø ± ð ¿ ì , Ì ¬ ¶ È Ò ² º Ã , Ð Á ¿ à À ²",0.0819882678353036,0
·þÎñºÜ²»´í£¬ËÍµ½µÄºÜ¿ì£¬°ëÐ¡Ê±²»µ½¾ÍËÍÀ´ÁË,42,1,"['·', 'þ', 'Î', 'ñ', 'º', 'Ü', '²', '»', '´', 'í', '£', '¬', 'Ë', 'Í', 'µ', '½', 'µ', 'Ä', 'º', 'Ü', '¿', 'ì', '£', '¬', '°', 'ë', 'Ð', '¡', 'Ê', '±', '²', '»', 'µ', '½', '¾', 'Í', 'Ë', 'Í', 'À', '´', 'Á', 'Ë']",· þ Î ñ º Ü ² » ´ í £ ¬ Ë Í µ ½ µ Ä º Ü ¿ ì £ ¬ ° ë Ð ¡ Ê ± ² » µ ½ ¾ Í Ë Í À ´ Á Ë,0.026262926682032,0
ËÙ¶ÈºÜ¿ì£¬´óÎíö²ÌìÍâÂôÆïÊ¿Ì¬¶È¶¼ºÜºÃ£¬ÔÞÔÞÔÞ£¡,46,1,"['Ë', 'Ù', '¶', 'È', 'º', 'Ü', '¿', 'ì', '£', '¬', '´', 'ó', 'Î', 'í', 'ö', '²', 'Ì', 'ì', 'Í', 'â', 'Â', 'ô', 'Æ', 'ï', 'Ê', '¿', 'Ì', '¬', '¶', 'È', '¶', '¼', 'º', 'Ü', 'º', 'Ã', '£', '¬', 'Ô', 'Þ', 'Ô', 'Þ', 'Ô', 'Þ', '£', '¡']",Ë Ù ¶ È º Ü ¿ ì £ ¬ ´ ó Î í ö ² Ì ì Í â Â ô Æ ï Ê ¿ Ì ¬ ¶ È ¶ ¼ º Ü º Ã £ ¬ Ô Þ Ô Þ Ô Þ £ ¡,0.0087819117831903,0
Î¶µÀÕý×Ú£¬Á¿´óÄÚÈÝ¶à,20,1,"['Î', '¶', 'µ', 'À', 'Õ', 'ý', '×', 'Ú', '£', '¬', 'Á', '¿', '´', 'ó', 'Ä', 'Ú', 'È', 'Ý', '¶', 'à']",Î ¶ µ À Õ ý × Ú £ ¬ Á ¿ ´ ó Ä Ú È Ý ¶ à,0.1196737016130942,0
"ËÍ²Í·Ç³£¿ì,Ì¬¶ÈÌØ±ðºÃ,Ð»Ð»",26,1,"['Ë', 'Í', '²', 'Í', '·', 'Ç', '³', '£', '¿', 'ì', ',', 'Ì', '¬', '¶', 'È', 'Ì', 'Ø', '±', 'ð', 'º', 'Ã', ',', 'Ð', '»', 'Ð', '»']","Ë Í ² Í · Ç ³ £ ¿ ì , Ì ¬ ¶ È Ì Ø ± ð º Ã , Ð » Ð »",0.1515511217128717,0
ÓÖ¿ìÓÖºÃ£¬Á¿×ã£¬¾­³£³Ô,22,1,"['Ó', 'Ö', '¿', 'ì', 'Ó', 'Ö', 'º', 'Ã', '£', '¬', 'Á', '¿', '×', 'ã', '£', '¬', '¾', '\xad', '³', '£', '³', 'Ô']",Ó Ö ¿ ì Ó Ö º Ã £ ¬ Á ¿ × ã £ ¬ ¾ ­ ³ £ ³ Ô,0.0992506215457137,0
ºÃ´óÒ»ÅèµãÁË7¸öÐ¡·ÝÁ¿×ã,23,1,"['º', 'Ã', '´', 'ó', 'Ò', '»', 'Å', 'è', 'µ', 'ã', 'Á', 'Ë', '7', '¸', 'ö', 'Ð', '¡', '·', 'Ý', 'Á', '¿', '×', 'ã']",º Ã ´ ó Ò » Å è µ ã Á Ë 7 ¸ ö Ð ¡ · Ý Á ¿ × ã,0.1405595263064194,0
ÅäËÍÈËÔ±Ì¬¶ÈºÃ£¬ËÙ¶È¿ì£¡,24,1,"['Å', 'ä', 'Ë', 'Í', 'È', 'Ë', 'Ô', '±', 'Ì', '¬', '¶', 'È', 'º', 'Ã', '£', '¬', 'Ë', 'Ù', '¶', 'È', '¿', 'ì', '£', '¡']",Å ä Ë Í È Ë Ô ± Ì ¬ ¶ È º Ã £ ¬ Ë Ù ¶ È ¿ ì £ ¡,0.0819882678353036,0
"ÔÚÕâÖÖÌìÆøÀï¸ÐÐ»ËÍ²ÍÔ±µÄÐÁ¿à·þÎñ,Ð»Ð»À²",39,1,"['Ô', 'Ú', 'Õ', 'â', 'Ö', 'Ö', 'Ì', 'ì', 'Æ', 'ø', 'À', 'ï', '¸', 'Ð', 'Ð', '»', 'Ë', 'Í', '²', 'Í', 'Ô', '±', 'µ', 'Ä', 'Ð', 'Á', '¿', 'à', '·', 'þ', 'Î', 'ñ', ',', 'Ð', '»', 'Ð', '»', 'À', '²']","Ô Ú Õ â Ö Ö Ì ì Æ ø À ï ¸ Ð Ð » Ë Í ² Í Ô ± µ Ä Ð Á ¿ à · þ Î ñ , Ð » Ð » À ²",0.0394348166418717,0
"ËÍ²ÍÌØ±ð¿ì,Ì¬¶ÈºÃ,·Ç³£¸ÐÐ»",26,1,"['Ë', 'Í', '²', 'Í', 'Ì', 'Ø', '±', 'ð', '¿', 'ì', ',', 'Ì', '¬', '¶', 'È', 'º', 'Ã', ',', '·', 'Ç', '³', '£', '¸', 'Ð', 'Ð', '»']","Ë Í ² Í Ì Ø ± ð ¿ ì , Ì ¬ ¶ È º Ã , · Ç ³ £ ¸ Ð Ð »",0.1515511217128717,0
ËÍµÄ·Ç³£¿ì£¬°ü×°ºÃ£¡Ð»Ð»Ê¦¸µ£¡,30,1,"['Ë', 'Í', 'µ', 'Ä', '·', 'Ç', '³', '£', '¿', 'ì', '£', '¬', '°', 'ü', '×', '°', 'º', 'Ã', '£', '¡', 'Ð', '»', 'Ð', '»', 'Ê', '¦', '¸', 'µ', '£', '¡']",Ë Í µ Ä · Ç ³ £ ¿ ì £ ¬ ° ü × ° º Ã £ ¡ Ð » Ð » Ê ¦ ¸ µ £ ¡,0.0868551904775479,0
¸½½ü×îºÃ³ÔµÄÂéÀ±Ïã¹ø£¬²»¿ªÍæÐ¦µÄ,32,1,"['¸', '½', '½', 'ü', '×', 'î', 'º', 'Ã', '³', 'Ô', 'µ', 'Ä', 'Â', 'é', 'À', '±', 'Ï', 'ã', '¹', 'ø', '£', '¬', '²', '»', '¿', 'ª', 'Í', 'æ', 'Ð', '¦', 'µ', 'Ä']",¸ ½ ½ ü × î º Ã ³ Ô µ Ä Â é À ± Ï ã ¹ ø £ ¬ ² » ¿ ª Í æ Ð ¦ µ Ä,0.0371170818348782,0
Î¶µÀ²»´í£¬·ÝÁ¿ºÜ×ã£¬½¨Òé¶¼µãÐ¡·Ý¡£ºìÊí³¬ºÃ³Ô¾ÍÊÇÌ«ÀÃÁËÈÝÒ×Ëé,60,1,"['Î', '¶', 'µ', 'À', '²', '»', '´', 'í', '£', '¬', '·', 'Ý', 'Á', '¿', 'º', 'Ü', '×', 'ã', '£', '¬', '½', '¨', 'Ò', 'é', '¶', '¼', 'µ', 'ã', 'Ð', '¡', '·', 'Ý', '¡', '£', 'º', 'ì', 'Ê', 'í', '³', '¬', 'º', 'Ã', '³', 'Ô', '¾', 'Í', 'Ê', 'Ç', 'Ì', '«', 'À', 'Ã', 'Á', 'Ë', 'È', 'Ý', 'Ò', '×', 'Ë', 'é']",Î ¶ µ À ² » ´ í £ ¬ · Ý Á ¿ º Ü × ã £ ¬ ½ ¨ Ò é ¶ ¼ µ ã Ð ¡ · Ý ¡ £ º ì Ê í ³ ¬ º Ã ³ Ô ¾ Í Ê Ç Ì « À Ã Á Ë È Ý Ò × Ë é,0.0080793474440601,0
»¹²»´í£¬¾ÍÊÇÉÔÎ¢ÏÌÁËµã,22,1,"['»', '¹', '²', '»', '´', 'í', '£', '¬', '¾', 'Í', 'Ê', 'Ç', 'É', 'Ô', 'Î', '¢', 'Ï', 'Ì', 'Á', 'Ë', 'µ', 'ã']",» ¹ ² » ´ í £ ¬ ¾ Í Ê Ç É Ô Î ¢ Ï Ì Á Ë µ ã,0.0992506215457137,0
ÕâÃ´ÍíÐÁ¿àÍâÂôÐ¡¸çÁË,20,1,"['Õ', 'â', 'Ã', '´', 'Í', 'í', 'Ð', 'Á', '¿', 'à', 'Í', 'â', 'Â', 'ô', 'Ð', '¡', '¸', 'ç', 'Á', 'Ë']",Õ â Ã ´ Í í Ð Á ¿ à Í â Â ô Ð ¡ ¸ ç Á Ë,0.1196737016130942,0
³¬¼¶¿ì¾ÍËÍµ½ÁË£¬Ð»Ð»ÆïÊ¿ºÜ¿ì£¬¸ÐÐ»ÆïÊ¿ÕâÖÖÌìÆø»¹ÔÚ¹¤×÷£¡,56,1,"['³', '¬', '¼', '¶', '¿', 'ì', '¾', 'Í', 'Ë', 'Í', 'µ', '½', 'Á', 'Ë', '£', '¬', 'Ð', '»', 'Ð', '»', 'Æ', 'ï', 'Ê', '¿', 'º', 'Ü', '¿', 'ì', '£', '¬', '¸', 'Ð', 'Ð', '»', 'Æ', 'ï', 'Ê', '¿', 'Õ', 'â', 'Ö', 'Ö', 'Ì', 'ì', 'Æ', 'ø', '»', '¹', 'Ô', 'Ú', '¹', '¤', '×', '÷', '£', '¡']",³ ¬ ¼ ¶ ¿ ì ¾ Í Ë Í µ ½ Á Ë £ ¬ Ð » Ð » Æ ï Ê ¿ º Ü ¿ ì £ ¬ ¸ Ð Ð » Æ ï Ê ¿ Õ â Ö Ö Ì ì Æ ø » ¹ Ô Ú ¹ ¤ × ÷ £ ¡,0.0030899177410256,0
·Ç³£ºÃ³Ô£¬Î¶µÀÒ²ºÜÏã£¬ÍÆ¼ö£¡,28,1,"['·', 'Ç', '³', '£', 'º', 'Ã', '³', 'Ô', '£', '¬', 'Î', '¶', 'µ', 'À', 'Ò', '²', 'º', 'Ü', 'Ï', 'ã', '£', '¬', 'Í', 'Æ', '¼', 'ö', '£', '¡']",· Ç ³ £ º Ã ³ Ô £ ¬ Î ¶ µ À Ò ² º Ü Ï ã £ ¬ Í Æ ¼ ö £ ¡,0.1050250260551585,0
"ºÜºÃ³Ô,ËÙµÝ¿ì,ÏÂ´Î¼ÌÐøÑ¡Ôñ",26,1,"['º', 'Ü', 'º', 'Ã', '³', 'Ô', ',', 'Ë', 'Ù', 'µ', 'Ý', '¿', 'ì', ',', 'Ï', 'Â', '´', 'Î', '¼', 'Ì', 'Ð', 'ø', 'Ñ', '¡', 'Ô', 'ñ']","º Ü º Ã ³ Ô , Ë Ù µ Ý ¿ ì , Ï Â ´ Î ¼ Ì Ð ø Ñ ¡ Ô ñ",0.0819882678353036,0
ºÜ¿ì£¬ÌØ±ðºÃ,12,1,"['º', 'Ü', '¿', 'ì', '£', '¬', 'Ì', 'Ø', '±', 'ð', 'º', 'Ã']",º Ü ¿ ì £ ¬ Ì Ø ± ð º Ã,0.2395217615025801,0
Ì«ÂéÁË£¬ÇàËñÓÐµãÐ¡£¬Ã×·¹¸øµÄÒ²²»¶à£¬ÍÁ¶¹Æ¬¶¼ËéÁË£¬ÕÒ²»µ½ÁË,58,1,"['Ì', '«', 'Â', 'é', 'Á', 'Ë', '£', '¬', 'Ç', 'à', 'Ë', 'ñ', 'Ó', 'Ð', 'µ', 'ã', 'Ð', '¡', '£', '¬', 'Ã', '×', '·', '¹', '¸', 'ø', 'µ', 'Ä', 'Ò', '²', '²', '»', '¶', 'à', '£', '¬', 'Í', 'Á', '¶', '¹', 'Æ', '¬', '¶', '¼', 'Ë', 'é', 'Á', 'Ë', '£', '¬', 'Õ', 'Ò', '²', '»', 'µ', '½', 'Á', 'Ë']",Ì « Â é Á Ë £ ¬ Ç à Ë ñ Ó Ð µ ã Ð ¡ £ ¬ Ã × · ¹ ¸ ø µ Ä Ò ² ² » ¶ à £ ¬ Í Á ¶ ¹ Æ ¬ ¶ ¼ Ë é Á Ë £ ¬ Õ Ò ² » µ ½ Á Ë,0.0049994068459668,0
µãÁËÌ«¶à´ÎÁË£¬Î¶µÀºÜÏã,22,1,"['µ', 'ã', 'Á', 'Ë', 'Ì', '«', '¶', 'à', '´', 'Î', 'Á', 'Ë', '£', '¬', 'Î', '¶', 'µ', 'À', 'º', 'Ü', 'Ï', 'ã']",µ ã Á Ë Ì « ¶ à ´ Î Á Ë £ ¬ Î ¶ µ À º Ü Ï ã,0.0992506215457137,0
